id	x	y
1001	-86.501121	32.500172
1003	-87.76113	30.561135
1005	-85.307836	31.848393
1007	-87.127884	33.027147
1009	-86.583386	33.96257
1011	-85.702462	32.115871
1013	-86.657268	31.772114
1015	-85.824297	33.721455
1017	-85.267602	32.862682
1019	-85.62842	34.182162
1021	-86.690734	32.874184
1023	-88.262087	32.017998
1025	-87.813187	31.687329
1027	-85.818106	33.270913
1029	-85.506061	33.623221
1031	-85.914789	31.356584
1033	-87.687985	34.723078
1035	-87.003172	31.416316
1037	-86.157085	32.974444
1039	-86.410167	31.281551
1041	-86.301987	31.745487
1043	-86.833216	34.160508
1045	-85.639808	31.388777
1047	-87.035539	32.406601
1049	-85.811234	34.459035
1051	-86.218359	32.563603
1053	-87.27994	31.089297
1055	-86.024607	34.015608
1057	-87.770384	33.725054
1059	-87.794714	34.458095
1061	-85.793121	31.095134
1063	-87.928009	32.823728
1065	-87.634526	32.771102
1067	-85.264965	31.484836
1069	-85.388061	31.204059
1071	-85.941653	34.732674
1073	-86.816365	33.520795
1075	-88.109866	33.765079
1077	-87.606434	34.869288
1079	-87.273921	34.545564
1081	-85.348903	32.590057
1083	-86.9538	34.823406
1085	-86.622082	32.157234
1087	-85.708737	32.422691
1089	-86.607643	34.744336
1091	-87.803668	32.339953
1093	-87.874616	34.111678
1095	-86.297927	34.31541
1097	-88.162344	30.685213
1099	-87.362322	31.508498
1101	-86.255165	32.346323
1103	-86.928602	34.512395
1105	-87.364314	32.583021
1107	-88.073106	33.292772
1109	-85.943149	31.782602
1111	-85.4218	33.254258
1113	-85.071124	32.421169
1115	-86.354009	33.662841
1117	-86.737505	33.290146
1119	-88.228963	32.564532
1121	-86.172606	33.365747
1123	-85.860672	32.856862
1125	-87.523133	33.213018
1127	-87.249536	33.830025
1129	-88.184919	31.411425
1131	-87.386391	32.004517
1133	-87.416963	34.163151
4001	-109.413156	35.605679
4003	-110.048033	31.617325
4005	-111.582284	35.514578
4007	-111.005816	33.81325
4009	-109.806363	32.869329
4011	-109.254049	32.999163
4012	-114.184787	33.949318
4013	-112.022074	33.495995
4015	-114.265546	35.029952
4017	-110.220568	34.934822
4019	-110.961327	32.226022
4021	-111.508178	33.043675
4023	-110.939324	31.426865
4025	-112.258128	34.628487
4027	-114.589049	32.662487
5001	-91.457552	34.399651
5003	-91.867571	33.179015
5005	-92.382352	36.332756
5007	-94.228491	36.337698
5009	-93.09877	36.26529
5011	-92.106842	33.55886
5013	-92.491029	33.5876
5015	-93.57076	36.37307
5017	-91.313903	33.320563
5019	-93.122622	34.089545
5021	-90.377709	36.373138
5023	-92.039127	35.512396
5025	-92.146595	33.915811
5027	-93.243323	33.258474
5029	-92.702557	35.215445
5031	-90.666285	35.834775
5033	-94.282879	35.496472
5035	-90.219837	35.179239
5037	-90.77368	35.257179
5039	-92.5384	33.873975
5041	-91.409971	33.78138
5043	-91.779585	33.628898
5045	-92.403066	35.104914
5047	-93.889547	35.440711
5049	-91.759194	36.380518
5051	-93.081334	34.508767
5053	-92.410766	34.310779
5055	-90.52427	36.07663
5057	-93.625336	33.698673
5059	-92.895631	34.354741
5061	-93.914971	33.983036
5063	-91.609014	35.747705
5065	-91.910973	36.122606
5067	-91.245507	35.62282
5069	-92.038891	34.23272
5071	-93.474737	35.477838
5073	-93.554335	33.293622
5075	-91.063522	36.068881
5077	-90.774247	34.784062
5079	-91.764796	33.976969
5081	-94.20002	33.701225
5083	-93.765332	35.228015
5085	-91.962919	34.887653
5087	-93.756622	36.053103
