id	year	month	day	x	y	pm25
10270001	2009	3	20	-85.802182	33.281261	6.2
10270001	2009	3	23	-85.802182	33.281261	12.1
10270001	2009	3	26	-85.802182	33.281261	4.0
10270001	2009	3	29	-85.802182	33.281261	4.7
10270001	2009	4	1	-85.802182	33.281261	2.9
10270001	2009	4	4	-85.802182	33.281261	7.6
10270001	2009	4	7	-85.802182	33.281261	4.8
10270001	2009	4	10	-85.802182	33.281261	10.1
10270001	2009	4	13	-85.802182	33.281261	4.2
10270001	2009	4	16	-85.802182	33.281261	10.1
10270001	2009	4	19	-85.802182	33.281261	7.6
10270001	2009	4	22	-85.802182	33.281261	8.2
10270001	2009	4	25	-85.802182	33.281261	5.1
10270001	2009	4	28	-85.802182	33.281261	7.8
10270001	2009	5	1	-85.802182	33.281261	8.5
10270001	2009	5	4	-85.802182	33.281261	3.8
10270001	2009	5	7	-85.802182	33.281261	9.0
10270001	2009	5	10	-85.802182	33.281261	5.3
10270001	2009	5	13	-85.802182	33.281261	10.0
10270001	2009	5	16	-85.802182	33.281261	4.7
10270001	2009	5	19	-85.802182	33.281261	6.4
10270001	2009	5	22	-85.802182	33.281261	6.1
10270001	2009	5	31	-85.802182	33.281261	10.2
10270001	2009	6	3	-85.802182	33.281261	16.9
10270001	2009	6	6	-85.802182	33.281261	16.3
10270001	2009	6	9	-85.802182	33.281261	20.7
10270001	2009	6	12	-85.802182	33.281261	10.0
10270001	2009	6	15	-85.802182	33.281261	10.6
10270001	2009	6	18	-85.802182	33.281261	15.7
10270001	2009	6	21	-85.802182	33.281261	13.5
10270001	2009	6	24	-85.802182	33.281261	20.0
10270001	2009	6	27	-85.802182	33.281261	29.7
10270001	2009	6	30	-85.802182	33.281261	9.9
10270001	2009	7	3	-85.802182	33.281261	7.8
10270001	2009	7	6	-85.802182	33.281261	11.9
10270001	2009	7	9	-85.802182	33.281261	18.7
10270001	2009	7	12	-85.802182	33.281261	12.4
10270001	2009	7	15	-85.802182	33.281261	14.7
10270001	2009	7	18	-85.802182	33.281261	7.0
10270001	2009	7	21	-85.802182	33.281261	12.7
10270001	2009	7	24	-85.802182	33.281261	11.6
10270001	2009	7	27	-85.802182	33.281261	11.5
10270001	2009	7	30	-85.802182	33.281261	7.0
10270001	2009	8	2	-85.802182	33.281261	9.2
10270001	2009	8	5	-85.802182	33.281261	11.0
10270001	2009	8	8	-85.802182	33.281261	17.2
10270001	2009	8	11	-85.802182	33.281261	9.2
10270001	2009	8	14	-85.802182	33.281261	18.2
10270001	2009	8	17	-85.802182	33.281261	4.7
10270001	2009	8	20	-85.802182	33.281261	5.0
10270001	2009	8	23	-85.802182	33.281261	7.7
10270001	2009	8	26	-85.802182	33.281261	9.6
10270001	2009	8	29	-85.802182	33.281261	11.2
10270001	2009	9	1	-85.802182	33.281261	13.2
10270001	2009	9	4	-85.802182	33.281261	11.4
10270001	2009	9	7	-85.802182	33.281261	13.7
10270001	2009	9	10	-85.802182	33.281261	11.7
10270001	2009	9	13	-85.802182	33.281261	19.4
10270001	2009	9	16	-85.802182	33.281261	6.8
10270001	2009	9	19	-85.802182	33.281261	6.4
10270001	2009	9	22	-85.802182	33.281261	5.4
10270001	2009	9	25	-85.802182	33.281261	3.7
10270001	2009	9	28	-85.802182	33.281261	11.4
10270001	2009	10	1	-85.802182	33.281261	8.6
10270001	2009	10	4	-85.802182	33.281261	7.2
10270001	2009	10	7	-85.802182	33.281261	4.2
10270001	2009	10	10	-85.802182	33.281261	3.4
10270001	2009	10	13	-85.802182	33.281261	8.3
10270001	2009	10	16	-85.802182	33.281261	5.0
10270001	2009	10	19	-85.802182	33.281261	7.1
10270001	2009	10	22	-85.802182	33.281261	7.7
10270001	2009	10	25	-85.802182	33.281261	3.9
10270001	2009	10	28	-85.802182	33.281261	5.2
10270001	2009	10	31	-85.802182	33.281261	3.5
10270001	2009	11	3	-85.802182	33.281261	9.2
10270001	2009	11	6	-85.802182	33.281261	6.3
10270001	2009	11	9	-85.802182	33.281261	11.2
10270001	2009	11	12	-85.802182	33.281261	6.2
10270001	2009	11	15	-85.802182	33.281261	13.7
10270001	2009	11	18	-85.802182	33.281261	7.3
10270001	2009	11	21	-85.802182	33.281261	10.0
10270001	2009	11	24	-85.802182	33.281261	6.5
10270001	2009	11	27	-85.802182	33.281261	3.9
10270001	2009	11	30	-85.802182	33.281261	8.0
10270001	2009	12	3	-85.802182	33.281261	5.5
10270001	2009	12	6	-85.802182	33.281261	8.7
10270001	2009	12	9	-85.802182	33.281261	5.0
10270001	2009	12	12	-85.802182	33.281261	5.5
10270001	2009	12	15	-85.802182	33.281261	6.2
10270001	2009	12	18	-85.802182	33.281261	2.7
